"cl","auc"
"SNGM",12.498
"AMO1",9.9903
"HEC50B",10.45
"MC116",10.348
"MOLM16",7.5749
"SUDHL4",4.4594
"SUDHL6",4.7678
"NCIH2085",10.34
"DBTRG05MG",12.356
"KELLY",6.4155
"MDAMB231",7.9254
"ME1",7.7801
"MELJUSO",13.232
"NB1",5.1717
"NCIH1373",10.354
"NCIH1792",13.691
"NCIH2122",15
"NCIH508",7.1773
"OVCAR4",5.5896
"OVCAR8",10.363
"RH30",5.2867
"RPMI8226",5.8943
"RT112",10.705
"CCK81",12.284
"COLO201",11.959
"GDM1",4.2749
"KPNSI9S",6.7539
"NB4",7.1872
"NCIH2172",12.577
"NCIH2286",5.4836
"NCIH441",11.797
"OCIAML2",5.924
"EFE184",11.228
"GAMG",14.403
"HEC151",9.7818
"HSC4",14.813
"HUH6",12.176
"PATU8902",15.433
"SNU840",12.217
"SNUC5",10.57
"SQ1",5.2482
"SW1088",12.751
"THP1",8.8125
"TYKNU",7.3263
"U937",11.244
"UMUC3",13.43
"LS123",4.7141
"SKMEL28",14.811
"SKMEL31",9.1737
"SKMEL5",14.576
"SNU407",10.416
"SNU61",7.5474
"CAOV3",11.39
"HEYA8",6.0862
"HT1376",13.962
"HT55",11.709
"HUPT4",7.3022
"IPC298",14.483
"L33",14.163
"NCIH1755",12.228
"SKLU1",9.3451
"SKMEL30",15.137
"SW620",14.105
"VMRCRCW",7.9727
"HCC1143",12.248
"L1236",7.1781
"RKN",4.8582
"RMGI",7.1717
"SKOV3",12.132
"TE1",12.562
"WM1799",10.121
"WM793",10.346
"G361",10.029
"HELA",15
"HEPG2",13.698
"HPAC",15.254
"HS936T",14.73
"KYSE70",14.509
"LXF289",12.64
"NCIH1435",14.346
"NCIH2023",15.005
"NCIH2126",14.439
"NUGC3",13.963
"YAPC",13.736
"ZR751",12.906
"C2BBE1",12.363
"CHAGOK1",8.1859
"COLO668",6.491
"COV362",13.195
"DV90",12.802
"EFO27",8.2421
"HDMYZ",6.4624
"NCIH2170",14.716
"NCIH647",12.63
"NCIH810",8.1376
"OCIAML3",5.8419
"PATU8988S",14.806
"PC3",7.468
"TE5",5.6505
"UACC257",14.488
"UACC62",11.666
"BICR6",13.344
"BT145",9.2543
"BT179",14.847
"ECGI10",12.508
"EFO21",10.216
"FTC133",7.4431
"JHUEM3",11.375
"LK2",14.49
"LNCAPCLONEFGC",12.588
"LS1034",14.086
"MKN7",9.0221
"HCC1428",12.287
"NCIH2029",12.747
"OE21",14.684
"SH10TC",13.333
"SNU449",8.6521
"T3M10",12.551
