"cl","auc"
"DBTRG05MG",12.841
"KELLY",16.592
"MDAMB231",15
"ME1",17.44
"MELJUSO",15.959
"NB1",15.405
"NCIH1373",15
"NCIH1792",16.216
"NCIH2122",15.733
"NCIH508",13.862
"OVCAR4",15.162
"OVCAR8",15.19
"PL21",16.75
"RH30",14.724
"RPMI8226",16.088
"RT112",16.076
"SKM1",17.68
"SUPT1",16.511
"CCK81",17.034
"COLO201",13.788
"GDM1",15.557
"KARPAS299",16.254
"KPNSI9S",15
"MOLT13",15.809
"NB4",14.529
"NCIH2172",15.993
"NCIH2286",14.708
"NCIH441",16.168
"NOMO1",16.808
"OCIAML2",18.666
"RAJI",15.745
"REH",16.928
"EFE184",16.478
"GAMG",14.615
"HEC151",14.327
"HSC4",14.339
"HUH6",14.57
"PATU8902",14.298
"SNU840",14.469
"SNUC5",13.099
"SQ1",13.915
"SW1088",14.453
"THP1",14.244
"TYKNU",14.217
"U937",14.051
"UMUC3",14.386
"LS123",14.724
"NCIH524",13.156
"SKMEL28",12.041
"SKMEL31",14.119
"SKMEL5",13.952
"SNU407",15
"SNU61",17.633
"CALU6",14.583
"CAOV3",16.637
"EBC1",15.951
"HEYA8",16.321
"HT1376",14.387
"HT55",14.635
"HUPT4",14.852
"IPC298",16.164
"L33",14.748
"LOXIMVI",14.994
"NCIH1755",14.002
"OVK18",15
"SKLU1",15
"SKMEL30",15.558
"SW620",16.217
"VMRCRCW",15.831
"HCC1143",17.624
"L1236",15
"LOVO",18.387
"MDAMB435S",13.192
"MDST8",14.553
"MM1S",15
"NCIH1184",15
"PK59",15.318
"RKN",15.665
"RMGI",17.688
"RT4",16.47
"SKOV3",16.664
"TE1",15.341
"WM1799",12.35
"WM793",13.55
"G361",13.244
"HELA",15.812
"HEPG2",14.035
"HPAC",15.475
"HS852T",17.123
"HS936T",14.837
"KYSE70",16.352
"LXF289",17.303
"NCIH1435",14.8
"NCIH2023",16.082
"NCIH2126",15
"NUGC3",16.363
"PANC0504",17.152
"OAW28",15
"TCCPAN2",16.681
"YAPC",16.279
"ZR751",15
"C2BBE1",15.936
"CHAGOK1",14.367
"COLO668",14.668
"COV362",13.913
"DV90",14.659
"EFO27",13.62
"HDMYZ",14.549
"NCIH2170",14.737
"NCIH647",14.122
"NCIH810",14.099
"OCIAML3",14.19
"PATU8988S",14.745
"PC3",14.158
"TE5",16.937
"UACC257",12.273
"UACC62",10.823
"BICR6",12.823
"BT145",13.87
"BT179",16.141
"ECGI10",14.195
"EFO21",13.303
"FTC133",14.608
"JHUEM3",16.907
"LK2",14.456
"LNCAPCLONEFGC",16.867
"LS1034",14.35
"MKN7",16.406
"HCC1428",15.756
"NCIH2029",15.166
"OE21",15.738
"SH10TC",14.674
"SNU449",13.93
"T3M10",14.463
"BT112",15
"BT164",16.566
"CCFSTTG1",14.907
"COLO800",11.802
"DKMG",14.438
"GP2D",16.314
"NCIH1869",15.511
"HCC38",14.605
"IALM",15
"JHOM1",15.066
"JHUEM7",15.444
"JL1",15.695
"KYSE450",15.327
"LC1SQSF",15.625
"RCM1",14.585
"SNU685",14.56
"VMRCLCD",15.458
"BT224",14.972
"BT549",16.26
"HCC202",15
"HSTS",17.294
"K029AX",13.994
"KRIJ",15.048
"KYSE520",15.08
"NCIH1623",15
"NCIH716",14.998
"OE19",13.778
"OE33",16.489
"PK1",15.006
"PK45H",15.275
"PSTS",18.089
"RERFLCAD2",15.429
"697",12.269
"A3KAW",14.357
"CA46",13.735
"CORL51",14.134
"DU4475",9.51
"EB1",12.301
"EOL1",11.733
"GA10",13.304
"MOLT3",14.676
"NAMALWA",14.287
"OPM2",14.658
"PFEIFFER",12.574
"SUPM2",13.996
"COLO829",10.354
"DANG",10.575
"EJM",18.291
"GI1",14.144
"GRANTA519",18.785
"HCC1500",12.68
"IGR1",13.062
"NCIH841",14.11
"OCILY19",17.733
"OCILY3",17.689
"U118MG",14.503
"NCIH2081",14.969
"A172",17.304
"COV644",17.062
"IM95",16.264
"J82",14.435
"NCIH23",15
"RD",16.895
"SKUT1",16.519
"T98G",14.067
"BECKER",14.142
"HS611T",16.247
"JHH4",14.136
"KARPAS422",14.27
"KMRC1",14.399
"LP1",13.025
"MDAMB468",14.782
"SKHEP1",13.731
"SUPHD1",14.781
"AN3CA",14.459
"ACHN",14.319
"CMK",15.721
"EN",15.401
"KASUMI1",15
"NCIH2342",15
"OV90",14.572
"RERFLCMS",14.677
"RPMI6666",14.634
"SKNMC",15.398
"A253",11.07
"BC3C",13.997
"C32",10.415
"CAL851",13.621
"COLO684",14.074
"HS746T",14.597
"HSC2",14.142
"HT144",10.573
"VMRCRCZ",13.96
"MESSA",11.85
"NCIH1105",14.779
"NCIH322",14.682
"OAW42",14.621
"PSN1",14.084
"T24",13.808
"TE441T",14.481
"TT2609C02",13.077
"CAKI1",14.926
"CORL105",14.609
"DMS273",14.754
"ESS1",14.678
"G402",14.562
"HOS",14.185
"HS294T",13.297
"JHH6",14.785
"MFE319",14.484
"MOLP8",15.708
"NCIH1339",14.447
"OV7",13.55
"PANC0327",13.979
"PLCPRF5",14.327
"SCC9",14.784
"SKLMS1",14.363
"JHH2",13.878
"A498",16.107
"HLF",14.612
"JHH1",14.344
"OV56",14.733
"PANC0203",14.73
"SNU475",13.666
"TOV21G",14.878
"647V",10.946
"8MGBA",11.017
"A101D",11.008
"A2058",11.151
"ASPC1",11.685
"CAKI2",14.675
"CAL27",10.938
"COLO792",12.876
"FTC238",11.818
"GMS10",12.089
"GOS3",13.16
"HMCB",13.333
"HUH1",11.158
"IGR39",12.094
"ISTMES1",11.773
"M059K",14.035
"PATU8988T",11.266
"SCABER",13.478
"SKNSH",12.705
"TM31",11.833
"YH13",12.788
"A673",13.188
"DU145",14.571
"FADU",14.396
"HCC4006",14.651
"HS683",13.67
"HS729",14.188
"HT1080",14.392
"JHH5",14.826
"JHUEM1",14.642
"MEWO",13.82
"MIAPACA2",15.152
"SKMES1",14.536
"SKNDZ",17.897
"SW579",13.279
"WM115",9.6006
"WM2664",11.288
"BT20",13.755
"CAL54",14.177
"CAPAN1",13.618
"CHP212",14.805
"HS895T",13.684
"PANC1",15.25
"KATOIII",13.366
"KMRC2",14.774
"KNS42",14.7
"MPP89",14.251
"NCIH1693",12.528
"PANC0403",13.686
"PECAPJ49",14.785
"SKMEL24",10.698
"SKNAS",14.922
"TE617T",16.048
"YKG1",14.631
"CORL95",16.14
"D283MED",13.399
"HL60",15
"HUPT3",16.594
"IMR32",15
"KO52",16.425
"MEC1",13.751
"NCIH1092",15.025
"NCIH2196",14.606
"NH6",15.349
"OCIM1",16.186
"TF1",15.846
"786O",14.381
"HCT15",13.974
"HEL9217",16.489
"HUNS1",12.206
"JHOS2",16.171
"K562",14.189
"NCIH1341",13.858
"NCIH1568",17.054
"NCIH1703",14.065
"NCIH838",15
"SKNFI",7.9466
"TE11",14.027
"DAUDI",14.287
"HT1197",14.558
"LUDLU1",15
"NCIH1915",14.456
"NCIH1944",13.716
"NCIH522",14.631
"PECAPJ41CLONED2",15.621
"PECAPJ15",14.148
"RVH421",12.101
"SET2",14.835
"SNU16",12.527
"TOV112D",14.638
"DB",13.262
"HCC1419",15.733
"HCC56",16.867
"HS839T",14.234
"NCIH2110",14.49
"PECAPJ34CLONEC12",14.308
"SNU387",14.586
"SNU503",8.1921
"SNU869",15.133
"SNUC1",13.97
"SW1990",13.574
"SW948",14.499
"TE15",13.899
"UMUC1",14.086
"WM983B",10.841
"CI1",16.333
"CJM",16.124
"HUG1N",16.641
"JEKO1",16.307
"JM1",14.18
"KP2",13.567
"LMSU",14.066
"MG63",14.419
"MOTN1",13.339
"RL",14.222
"SKMEL3",12.818
"SNU1",15.859
"ST486",14.89
"SUPB15",16.469
"TC71",13.466
"BICR18",14.877
"BICR22",13.916
"BICR31",15.584
"COLO678",16.402
"EFM192A",14.801
"G401",15.963
"HS888LU",14.564
"NCIH1395",16.469
"SNU423",14.238
"SW1417",13.002
"VCAP",17.157
"DMS454",14.04
"GCT",12.825
"HCC2935",14.344
"HOP62",13.581
"OVCAR5",13.878
"SF268",13.294
"SF539",13.026
"TUHR14TKB",15.394
"U251MG",14.337
"DMS53",13.391
"HEC1A",14.619
"IGR37",12.061
"KNS62",14.997
"MDAMB157",13.1
"NCIH1563",13.237
"OC314",14.331
"UO31",12.155
"BICR56",14.606
"CAL33",14.185
"CALU1",14.719
"CAPAN2",14.555
"DMS114",14.847
"EKVX",13.954
"HCC1438",14.562
"HCT8",14.547
"HOP92",13.579
"KYM1",14.357
"KYSE30",14.507
"KYSE510",14.46
"L428",12.903
"MDAMB361",15
"MFE296",14.246
"NUDHL1",14.233
"SNB75",14.183
"SNU216",13.957
"BICR16",13.003
"F36P",14.634
"JJN3",14.262
"KASUMI2",14.464
"KG1C",11.646
"KMS20",13.165
"KYSE150",14.531
"OCIAML5",14.846
"PANC0813",14.08
"SNU601",14.938
"SNUC4",14.816
"T47D",14.035
"T84",14.302
"TE14",14.766
"U266B1",14.31
"42MGBA",14.685
"BT139",14.373
"BT159",14.519
"BT187",14.659
"BT228",14.289
"BT231",15.441
"BT239",15.271
"BT474",15
"COV434",15.297
"DND41",14.617
"G292CLONEA141B1",14.597
"HCC2218",14.045
"HS766T",16.898
"M07E",14.913
"NCIH1651",15.923
"SKBR3",14.882
"A204",14.725
"AML193",14.805
"HGC27",14.957
"HS578BST",13.718
"MALME3M",10.712
"HS688AT",14.715
"HUT78",15.56
"NCIH1793",13.741
"SCC4",15
"SKES1",14.988
"HS888T",14.303
"MDAMB453",14.464
"SAOS2",14.084
"UBLC1",12.138
"NCIH1694",13.005
"SEM",12.112
"HS822T",11.842
"HS940T",12.059
"KMBC2",14.196
"RCC10RGB",14.513
"SKNBE2",14.472
"AU565",12.893
"COLO320",14.031
"MDAMB415",13.332
"PANC1005",15.109
"BT131",15.654
"BT147",15.972
"BT172",16.323
"BT216",16.015
"BT232",14.811
"BT245",14.491
"BT271",14.085
"BT286",15.036
"BT320",15.935
"BT328",14.704
"BT330",16.115
"BT333",14.938
"BT340",14.639
"BT359",14.762
"BT416",14.2
"BT422",15.267
"BT428",16.011
"BT440",15.153
"BT444",14.995
"BT482",17.104
"BT498",14.849
"BT504",15.863
"2004",15
"ASKA",14.789
"BT12",14.558
"BT16",15.286
"SW982",16.013
"SYO1",14.543
"TM87-16",15.959
"TTC709",14.943
"YAMATO",14.431
