path:hsa00052,GLB1
path:hsa00052,HK1
path:hsa00052,HK2
path:hsa00052,HK3
path:hsa00052,LALBA
path:hsa00052,LCT
path:hsa00052,PFKL
path:hsa00052,PFKM
path:hsa00052,PFKP
path:hsa00052,PGM1
path:hsa00052,PGM2
path:hsa00052,AKR1B10
path:hsa00052,G6PC2
path:hsa00052,SI
path:hsa00052,UGP2
path:hsa00052,HKDC1
path:hsa00052,B4GALT2
path:hsa00052,MGAM
path:hsa00052,G6PC3
path:hsa00052,MGAM2
path:hsa00053,UGT2B11
path:hsa00053,UGT2A1
path:hsa00053,ALDH2
path:hsa00053,ALDH1B1
path:hsa00053,ALDH9A1
path:hsa00053,ALDH3A2
path:hsa00053,ALDH7A1
path:hsa00053,UGT2B28
path:hsa00053,UGT1A10
path:hsa00053,UGT1A8
path:hsa00053,UGT1A7
path:hsa00053,UGT1A6
path:hsa00053,UGT1A5
path:hsa00053,UGT1A9
path:hsa00053,UGT1A4
path:hsa00053,UGT1A1
path:hsa00053,UGT1A3
path:hsa00053,MIOX
path:hsa00053,UGT2A2
path:hsa00053,UGDH
path:hsa00053,UGT2B4
path:hsa00053,UGT2B7
path:hsa00053,UGT2B10
path:hsa00053,UGT2B15
path:hsa00053,UGT2B17
path:hsa00053,UGT2A3
path:hsa00053,RGN
path:hsa00061,HTD2
path:hsa00061,ACSF3
path:hsa00061,ACSL1
path:hsa00061,ACSL3
path:hsa00061,ACSL4
path:hsa00061,FASN
path:hsa00061,ACSBG1
path:hsa00061,ACSL6
path:hsa00061,MCAT
path:hsa00061,ACACA
path:hsa00061,ACACB
path:hsa00061,MECR
path:hsa00061,ACSL5
path:hsa00061,OXSM
path:hsa00061,OLAH
path:hsa00061,HSD17B8
path:hsa00061,ACSBG2
path:hsa00061,CBR4
path:hsa00062,ACAA2
path:hsa00062,ACOT2
path:hsa00062,ACOT7
path:hsa00062,THEM4
path:hsa00062,ACOT4
path:hsa00062,ECHS1
path:hsa00062,HACD2
path:hsa00062,THEM5
path:hsa00062,HADHA
path:hsa00062,HADHB
path:hsa00062,HADH
path:hsa00062,HACD4
path:hsa00062,MECR
path:hsa00062,HSD17B12
